drug_a,drug_b,cell_line,synergy
2708,11683,HOP-92,-253
57469,454216,A549,-253
2578,454216,NCI-H522,-253
9444,2733525,OVCAR-8,-252
5284616,123596,CCRF-CEM,-252
4114,148124,DU-145,-252
5311,60953,HL-60,-251
11683,135413520,HOP-92,-251
644241,2187,MDA-MB-231,-251
36314,3011155,HT-29,-250
57469,457193,SF539,-250
387447,657237,RPMI-8226,-250
5311,123596,UACC-62,-250
2907,454216,OVCAR-8,-249
68740,9941095,RPMI-8226,-249
36314,60749,NCI-H322M,-248
36314,3011155,OVCAR-5,-248
451668,454216,RXF393,-248
135401907,5935,CAKI-1,-248
4842,241902,HL-60,-248
9887053,454216,SK-OV-3,-248
2187,60953,MCF7,-248
443939,5329102,RPMI-8226,-247
60749,2187,CCRF-CEM,-247
387447,20279,T47D,-247
6442177,123596,HL-60,-247
3657,9941095,RPMI-8226,-246
6239,241902,CAKI-1,-245
5284616,123596,HL-60,-245
4842,126941,RXF393,-245
2907,20279,CAKI-1,-245
4114,457193,SK-MEL-28,-245
60749,5394,NCI-H322M,-245
148124,3902,CCRF-CEM,-245
443939,5329102,CCRF-CEM,-244
6194,11683,NCI-H322M,-244
4114,36314,OVCAR-8,-244
4114,148124,OVCAR-5,-243
119182,163659,SF539,-243
5311,2187,SK-MEL-28,-243
123596,126941,MDA-MB-231,-243
406563,60953,CCRF-CEM,-243
60953,5394,NCI-H322M,-242
123596,3902,HCT-15,-242
444795,3902,SF268,-241
135401907,119182,CCRF-CEM,-241
5394,126941,NCI-H226,-241
148124,5453,NCI-H322M,-241
29327,241902,OVCAR-3,-241
9444,5394,OVCAR-8,-240
36314,60953,RPMI-8226,-240
2141,163659,U251,-240
4114,457193,OVCAR-3,-240
6442177,426756,RXF393,-240
406563,5329102,K-562,-240
5329102,123596,MDA-MB-231,-240
9444,36314,K-562,-239
148124,5790,NCI-H322M,-238
387447,9444,CCRF-CEM,-238
9444,3902,SK-MEL-28,-237
2907,454216,HCT-15,-237
2907,5394,HL-60,-237
4114,457193,BT-549,-237
3011155,5394,HCC2998,-237
3011155,5394,SF295,-237
68740,2733525,SR,-237
9941095,426756,K-562,-237
20279,126941,K-562,-236
36314,3902,OVCAR-5,-236
60953,2662,HL-60,-236
77082,9941095,CCRF-CEM,-235
439693,454216,SF539,-235
4114,249332,DU-145,-235
119182,644241,NCI-H322M,-235
2187,3062316,CCRF-CEM,-235
68740,123596,SK-MEL-2,-235
460612,135398738,NCI-H322M,-235
443939,457193,CCRF-CEM,-234
2733525,444795,HOP-62,-234
4114,148124,MDA-MB-468,-234
104842,2187,T47D,-234
104842,3902,UACC-62,-234
11683,123631,HOP-92,-234
68740,9941095,CCRF-CEM,-234
9941095,5394,K-562,-234
148121,20279,NCI-H322M,-234
5799,36314,NCI-H322M,-234
9444,36314,OVCAR-8,-233
2907,9444,CAKI-1,-233
4114,126941,OVCAR-8,-233
148124,123596,NCI-H322M,-233
104842,5394,OVCAR-5,-233
9444,457193,MOLT-4,-232
444795,2662,SF268,-232
444795,126941,RXF393,-232
36314,119182,NCI-H322M,-232
451668,36314,SK-OV-3,-232
2123,135398738,NCI-H322M,-232
2123,11683,NCI-H322M,-232
5746,454216,MOLT-4,-232
60749,3902,786-0,-232
249332,3902,SF268,-232
6442177,119182,RXF393,-232
644241,2187,786-0,-232
9703,657237,RXF393,-232
9444,20279,NCI-H322M,-231
443939,5394,RPMI-8226,-231
5790,126941,OVCAR-4,-231
6194,11683,CAKI-1,-231
4114,457193,MOLT-4,-231
119182,2187,CCRF-CEM,-231
148124,5394,SK-MEL-28,-231
60953,644241,CCRF-CEM,-231
406563,3902,NCI-H322M,-231
72466,444795,SR,-230
451668,36314,KM12,-230
439693,148124,HCC2998,-230
2907,148124,CCRF-CEM,-230
4114,241902,HL-60,-230
6252,126941,Hs-578-T,-230
5311,3011155,SF268,-230
644241,123596,MDA-MB-231,-230
5329102,3902,IGROV-1,-230
5329102,644241,IGROV-1,-230
443939,60953,RPMI-8226,-229
5284616,2187,786-0,-229
104741,9941095,MOLT-4,-229
2187,444795,HL-60,-229
644241,2187,NCI-H322M,-229
9444,5394,CCRF-CEM,-228
104741,60953,LOXIMVI,-228
68740,644241,K-562,-228
72466,60953,CCRF-CEM,-227
451668,454216,SF295,-227
123608,36314,MOLT-4,-227
104842,3902,NCI-H322M,-227
60953,3011155,RXF393,-227
6442177,644241,MDA-MB-231,-227
123596,3902,NCI-H226,-227
3690,454216,RXF393,-226
5746,241902,OVCAR-3,-226
2141,163659,UACC-62,-226
148124,3902,SF268,-226
60953,644241,MDA-MB-231,-226
644241,123596,HL-60,-226
148121,6252,NCI-H322M,-226
3950,4212,U251,-226
451668,454216,BT-549,-225
6239,148124,CAKI-1,-225
5746,454216,BT-549,-225
2708,452548,NCI-H322M,-225
2708,11683,CAKI-1,-225
249332,3902,K-562,-225
249332,3902,PC-3,-225
5311,36314,NCI-H322M,-225
644241,657237,HL-60,-225
5352062,644241,CCRF-CEM,-225
9444,2187,K-562,-224
9444,3902,UACC-62,-224
4842,119182,HL-60,-224
4114,148124,NCI-H23,-224
60749,123596,HL-60,-224
387447,148124,K-562,-224
5311,123596,NCI-H322M,-224
60953,657237,NCI-H322M,-224
6442177,3011155,IGROV-1,-224
5329102,2733525,RXF393,-224
148121,6252,MDA-MB-468,-224
9444,644241,OVCAR-8,-223
5284616,2187,MDA-MB-231,-223
2141,249332,LOXIMVI,-223
57469,454216,COLO-205,-223
2578,454216,M14,-223
3011155,2187,MDA-MB-231,-223
644241,5453,HL-60,-223
5329102,60953,RXF393,-223
148121,20279,OVCAR-8,-223
5790,126941,IGROV-1,-222
2141,457193,UACC-62,-222
57469,454216,KM12,-222
57469,454216,RPMI-8226,-222
4114,126941,RXF393,-222
104842,426756,NCI-H322M,-222
387447,60749,K-562,-222
5329102,20279,RXF393,-222
148121,2733525,SNB75,-222
148121,6252,Hs-578-T,-222
2907,5453,HL-60,-221
9887053,454216,K-562,-221
4114,36314,NCI-H226,-221
60749,426756,NCI-H322M,-221
60749,5790,NCI-H322M,-221
5426,657237,RXF393,-221
104842,644241,T47D,-221
5311,36314,MDA-MB-468,-221
60953,426756,NCI-H322M,-221
406563,5790,SK-MEL-2,-221
406563,123596,CCRF-CEM,-221
5329102,123596,HCT-15,-221
29327,454216,UACC-257,-221
9444,2733525,NCI-H322M,-220
9444,2187,LOXIMVI,-220
77082,123596,SK-MEL-2,-220
135398738,443939,RXF393,-220
148124,60953,CCRF-CEM,-220
148124,60953,NCI-H322M,-220
104842,644241,K-562,-220
3011155,2187,HL-60,-220
5329102,644241,HCT-15,-220
36314,5394,OVCAR-5,-219
3011155,457193,786-0,-219
5311,444795,MDA-MB-231,-219
2187,60953,HCT-15,-219
68740,3902,CCRF-CEM,-219
9941095,3011155,LOXIMVI,-219
5329102,2662,RXF393,-219
9444,457193,HL-60,-218
9444,457193,NCI-H322M,-218
36314,60953,HT-29,-218
4842,454216,PC-3,-218
6194,36462,NCI-H322M,-218
4114,148124,SK-MEL-5,-218
4114,148124,SK-OV-3,-218
104842,123596,T47D,-218
3062316,3902,SK-MEL-28,-218
6442177,5453,RXF393,-218
406563,457193,HCT-116,-218
406563,457193,MCF7,-218
2478,454216,Hs-578-T,-218
3690,454216,UACC-257,-217
444795,657237,SF268,-217
2141,2733525,HT-29,-217
2141,457193,LOXIMVI,-217
2141,249332,U251,-217
57469,148124,SK-MEL-5,-217
4114,148124,SF539,-217
119182,20279,NCI-H322M,-217
3062316,644241,SK-MEL-28,-217
444795,20279,SF268,-216
77082,457193,SK-MEL-5,-216
2907,241902,CAKI-1,-216
9887053,454216,NCI-H322M,-216
5790,3902,NCI-H226,-216
148124,104741,NCI-H322M,-216
104842,3902,T47D,-216
9941095,2662,SK-MEL-28,-216
29327,241902,K-562,-216
29327,241902,SK-MEL-5,-216
460612,36462,NCI-H322M,-216
5284616,60953,CCRF-CEM,-215
454216,3062316,COLO-205,-215
4842,126941,CAKI-1,-215
5746,36314,NCI-H322M,-215
57469,163659,UACC-62,-215
119182,163659,UACC-257,-215
104842,3902,OVCAR-5,-215
249332,3902,CCRF-CEM,-215
249332,3902,Hs-578-T,-215
5311,36314,T47D,-215
11683,3950,HL-60,-215
5352062,2187,OVCAR-5,-215
9444,60749,NCI-H322M,-214
77082,6442177,NCI-H23,-214
135401907,126941,CAKI-1,-214
6239,5394,CAKI-1,-214
123608,4211,CAKI-1,-214
4114,60749,RXF393,-214
119182,123596,DU-145,-214
60749,123596,CCRF-CEM,-214
148124,426756,OVCAR-5,-214
249332,3902,IGROV-1,-214
2478,457193,SR,-214
5329102,60749,RXF393,-214
9444,2187,T47D,-213
3690,5799,RXF393,-213
36314,3011155,TK10,-213
3385,216326,SR,-213
5394,126941,MDA-MB-231,-213
4114,657237,OVCAR-3,-213
60749,644241,OVCAR-3,-213
148124,2187,TK10,-213
5453,3902,OVCAR-3,-213
60953,2733525,NCI-H322M,-213
68740,249332,SK-MEL-2,-213
644241,2187,HOP-92,-213
5329102,644241,HL-60,-213
5352062,123596,UACC-62,-213
148121,5790,Hs-578-T,-213
72466,9941095,RPMI-8226,-212
4842,36314,OVCAR-3,-212
5746,126941,CAKI-1,-212
5746,126941,M14,-212
3011155,249332,786-0,-212
11683,60198,HOP-92,-212
123596,249332,HCT-116,-212
9941095,5394,RXF393,-212
2478,2733525,U251,-212
5329102,6252,RXF393,-212
77082,3902,CCRF-CEM,-211
3385,36462,RPMI-8226,-211
2578,454216,KM12,-211
4114,249332,SN12C,-211
104842,644241,OVCAR-5,-211
3011155,104741,HL-60,-211
2187,20279,RPMI-8226,-211
2187,2662,HCT-15,-211
2723601,11683,HOP-92,-211
9444,36314,NCI-H322M,-210
2123,60198,OVCAR-3,-210
439693,148124,NCI-H226,-210
3011155,2662,786-0,-210
68740,123596,OVCAR-3,-210
406563,457193,COLO-205,-210
2478,148124,CAKI-1,-210
5352062,3902,CCRF-CEM,-210
148121,20279,BT-549,-210
36314,119182,HT-29,-209
439693,444795,HCC2998,-209
57469,454216,SK-MEL-5,-209
119182,2187,RPMI-8226,-209
148124,3011155,OVCAR-8,-209
3011155,123596,HCC2998,-209
3011155,644241,MDA-MB-231,-209
68740,2662,CCRF-CEM,-209
123596,20279,MOLT-4,-209
644241,2187,BT-549,-209
5329102,3011155,IGROV-1,-209
29327,454216,BT-549,-209
9444,644241,A498,-208
36314,3011155,HCT-116,-208
5284616,123596,MDA-MB-231,-208
2907,119182,HL-60,-208
2708,62770,NCI-H322M,-208
4211,3062316,CCRF-CEM,-208
241902,3062316,CCRF-CEM,-208
119182,5394,NCI-H322M,-208
148124,5394,OVCAR-8,-208
104842,249332,T47D,-208
104741,5329102,CCRF-CEM,-208
68740,5284616,CCRF-CEM,-208
68740,3011155,K-562,-208
406563,9941095,RPMI-8226,-208
5329102,104842,RXF393,-208
148121,36314,T47D,-208
9444,457193,OVCAR-8,-207
5284616,5394,CCRF-CEM,-207
119182,3902,CCRF-CEM,-207
119182,644241,ACHN,-207
9941095,3011155,RXF393,-207
406563,6252,NCI-H322M,-207
406563,249332,SN12C,-207
5329102,2662,SK-MEL-28,-207
657237,3902,NCI-H226,-206
36314,644241,TK10,-206
5746,454216,HCT-15,-206
119182,249332,HCT-116,-206
60699,148124,CCRF-CEM,-206
148124,3902,SK-MEL-28,-206
104842,5790,NCI-H322M,-206
104842,123596,NCI-H322M,-206
11683,216326,SK-MEL-5,-206
148121,20279,786-0,-206
9444,3011155,SK-MEL-28,-205
9444,2187,SF539,-205
2123,3950,HL-60,-205
4842,148124,HL-60,-205
5790,126941,T47D,-205
104842,444795,NCI-H322M,-205
60953,104741,BT-549,-205
68740,444795,SR,-205
148121,20279,MDA-MB-468,-205
6239,126941,M14,-204
5284616,123596,NCI-H322M,-204
2907,9444,HL-60,-204
5426,126941,SF539,-204
5329102,60953,SK-MEL-28,-204
444795,126941,SF268,-203
2123,11683,NCI-H226,-203
5284616,644241,T47D,-203
148124,36314,NCI-H322M,-203
104842,457193,HL-60,-203
249332,3902,HCT-15,-203
2187,5329102,HCC2998,-203
68740,5394,RPMI-8226,-203
5329102,2733525,HL-60,-203
5329102,123596,IGROV-1,-203
36314,20279,T47D,-202
451668,36314,MCF7,-202
2907,667490,CAKI-1,-202
9887053,454216,OVCAR-5,-202
3657,2662,MOLT-4,-202
5394,20279,EKVX,-202
57469,454216,SF539,-202
119182,126941,786-0,-202
104842,5394,RXF393,-202
249332,3902,HT-29,-202
387447,60749,T47D,-202
5311,36314,HL-60,-202
123596,3902,MDA-MB-231,-202
9444,2733525,SF539,-201
9444,6252,OVCAR-3,-201
9444,2187,A498,-201
36314,60953,NCI-H322M,-201
2708,6194,HT-29,-201
60749,2187,OVCAR-3,-201
60749,123596,ACHN,-201
5426,20279,RXF393,-201
387447,20279,RPMI-8226,-201
60953,3011155,MDA-MB-231,-201
6442177,60749,RXF393,-201
6442177,123596,MDA-MB-231,-201
5329102,5394,HCT-15,-201
9703,126941,RXF393,-201
9444,457193,SF539,-200
443939,3902,RPMI-8226,-200
451668,5453,A498,-200
77082,9941095,SK-MEL-2,-200
4842,36314,NCI-H522,-200
5746,454216,NCI-H226,-200
2708,6194,NCI-H322M,-200
3657,249332,K-562,-200
4114,5394,OVCAR-3,-200
119182,163659,CCRF-CEM,-200
148124,3902,TK10,-200
2187,6442177,CCRF-CEM,-200
406563,457193,SK-MEL-5,-200
406563,5311,MOLT-4,-200
5329102,119182,RXF393,-200
5799,36314,HT-29,-200
444795,5453,SF268,-199
3385,4212,RPMI-8226,-199
439693,454216,COLO-205,-199
454216,3062316,A549,-199
2708,3950,NCI-H322M,-199
57469,454216,HT-29,-199
60749,3011155,K-562,-199
104842,2187,NCI-H322M,-199
3011155,5790,OVCAR-3,-199
3950,4212,BT-549,-199
29327,241902,HT-29,-199
9444,36314,LOXIMVI,-198
9444,60749,OVCAR-3,-198
3690,36314,CCRF-CEM,-198
657237,3902,HCT-116,-198
444795,249332,SF268,-198
72466,3902,MCF7,-198
439693,454216,SF268,-198
426756,3902,K-562,-198
4211,5329102,CCRF-CEM,-198
4114,241902,NCI-H522,-198
4114,249332,OVCAR-4,-198
119182,249332,T47D,-198
60749,2733525,NCI-H322M,-198
387447,60749,MOLT-4,-198
387447,60749,RPMI-8226,-198
3950,4212,SN12C,-198
9444,2733525,LOXIMVI,-197
9444,104741,NCI-H322M,-197
3690,20279,RPMI-8226,-197
2123,11683,SK-MEL-5,-197
6239,249332,CAKI-1,-197
123608,36314,U251,-197
439693,454216,UACC-62,-197
5284616,5394,NCI-H322M,-197
454216,5284616,Hs-578-T,-197
2578,126941,786-0,-197
4114,241902,RPMI-8226,-197
60699,36314,RPMI-8226,-197
60749,60953,CCRF-CEM,-197
60749,644241,ACHN,-197
148124,3011155,SK-MEL-28,-197
5311,2187,UACC-62,-197
5311,644241,NCI-H522,-197
60953,2187,786-0,-197
11683,45055483,HOP-92,-197
6442177,2662,RXF393,-197
5352062,2187,NCI-H322M,-197
9444,5394,KM12,-196
9444,5394,OVCAR-5,-196
72466,644241,K-562,-196
2141,126941,HCT-15,-196
119182,644241,NCI-H522,-196
5426,454216,OVCAR-3,-196
104842,2733525,NCI-H322M,-196
2187,457193,HL-60,-196
9941095,3902,T47D,-196
5329102,426756,HCT-15,-196
439693,457193,SF539,-195
119182,2733525,SF295,-195
60699,148124,NCI-H522,-195
60953,444795,SF295,-195
9444,5394,K-562,-194
36314,3011155,T47D,-194
36314,3902,TK10,-194
6239,444795,CAKI-1,-194
119182,5790,NCI-H322M,-194
60749,3902,SN12C,-194
249332,3902,DU-145,-194
3011155,104741,HCC2998,-194
9941095,123596,HL-60,-194
9941095,644241,MDA-MB-231,-194
406563,457193,NCI-H522,-194
5329102,3902,MDA-MB-231,-194
9444,444795,NCI-H322M,-193
9444,5394,SK-MEL-28,-193
9444,644241,LOXIMVI,-193
20279,3902,NCI-H226,-193
451668,457193,M14,-193
2123,62770,HT-29,-193
2733525,657237,HOP-62,-193
6194,135413520,PC-3,-193
57469,163659,SF539,-193
4211,5394,HOP-62,-193
119182,123596,CCRF-CEM,-193
60749,104741,CCRF-CEM,-193
387447,148124,NCI-H322M,-193
3011155,644241,RXF393,-193
5311,3902,UACC-62,-193
406563,9444,NCI-H522,-193
29327,454216,RXF393,-193
657237,126941,T47D,-192
36314,3902,CCRF-CEM,-192
3657,2733525,HOP-62,-192
135398738,60198,OVCAR-3,-192
241902,457193,COLO-205,-192
119182,2733525,NCI-H322M,-192
60749,163659,TK10,-192
5426,444795,OVCAR-3,-192
5311,2187,CCRF-CEM,-192
11683,45055483,NCI-H322M,-192
6442177,3062316,RXF393,-192
406563,20279,SK-MEL-2,-192
9444,60953,NCI-H322M,-191
3690,454216,BT-549,-191
36314,3011155,Hs-578-T,-191
9887053,454216,MCF7,-191
57469,457193,MOLT-4,-191
4211,457193,TK10,-191
104741,644241,MOLT-4,-191
29327,657237,RPMI-8226,-191
9444,644241,OVCAR-3,-190
3690,454216,HCT-15,-190
3690,148124,RPMI-8226,-190
36314,3011155,SF268,-190
36314,644241,T47D,-190
451668,241902,A498,-190
123608,457193,CAKI-1,-190
5284616,426756,SF295,-190
9887053,454216,COLO-205,-190
4114,457193,RXF393,-190
119182,163659,KM12,-190
119182,2187,K-562,-190
60953,123596,BT-549,-190
60953,644241,RXF393,-190
68740,5329102,CCRF-CEM,-190
3062316,5394,SK-MEL-28,-190
6442177,426756,SK-MEL-28,-190
9941095,2733525,MDA-MB-231,-190
406563,5284616,CCRF-CEM,-190
148121,444795,OVCAR-4,-190
148121,457193,SNB75,-190
9444,3902,HL-60,-189
443939,5453,RPMI-8226,-189
451668,36314,NCI-H23,-189
439693,249332,K-562,-189
5746,126941,EKVX,-189
5394,3902,T47D,-189
4114,148124,MDA-MB-231,-189
3011155,5394,OVCAR-3,-189
5311,5284616,SK-MEL-28,-189
60953,454216,786-0,-189
60953,5394,BT-549,-189
6442177,2662,SK-MEL-28,-189
9941095,426756,SK-MEL-28,-189
406563,426756,SW620,-189
406563,6442177,CAKI-1,-189
5352062,3011155,OVCAR-5,-189
3950,4212,Hs-578-T,-189
3950,4212,RPMI-8226,-189
443939,9941095,K-562,-188
36314,3011155,RXF393,-188
36314,3902,SF268,-188
451668,36314,A498,-188
2907,148124,KM12,-188
3657,9941095,CCRF-CEM,-188
2578,454216,NCI-H226,-188
4114,241902,MOLT-4,-188
4114,148124,UACC-257,-188
119182,3011155,K-562,-188
148124,249332,NCI-H322M,-188
11683,36462,CAKI-1,-188
11683,60198,OVCAR-3,-188
11683,3950,SK-MEL-5,-188
104741,36314,LOXIMVI,-188
3062316,3011155,SK-MEL-28,-188
3062316,123596,HL-60,-188
9941095,5453,NCI-H322M,-188
5329102,104842,NCI-H322M,-188
148121,20279,PC-3,-188
